id,price
Alameda,559110
Amador,180000
Butte,227500
Calaveras,204167
Contra Costa,397760
Del Norte,130000
El Dorado,335000
Fresno,184120
Glenn,180000
Humboldt,270590
Kern,210340
Kings,160000
Lake,160000
Lassen,-1
Los Angeles,423570
Madera,200000
Marin,905000
Mariposa,225000
Mendocino,298500
Merced,149330
Mono,625000
Monterey,428500
Napa,535000
Nevada,268181
Orange,653850
Placer,360980
Plumas,246000
Riverside,314070
Sacramento,242510
San Benito,404000
San Bernardino,190130
San Diego,479340
San Francisco,894999
San Joaquin,234090
San Luis Obispo,455810
San Mateo,955000
Santa Barbara,698860
Santa Clara,731000
Santa Cruz,609900
Shasta,194610
Siskiyou,156670
Solano,296120
Sonoma,460000
Stanislaus,205900
Sutter,190000
Tehama,158000
Tulare,162860
Tuolumne,215380
Ventura,533730
Yolo,289060
Yuba,206940
Modoc,-1
Trinity,-1
Colusa,-1
Sierra,-1
Alpine,-1
Inyo,-1
Imperial,-1
